FileName,StudentName,Genre,ReviewType,MovieTitle,MovieReview
CFA_Doc1_DespicableMe3,CFA,Comedy,Positive,Despicable Me 3,"It should come as no surprise that a movie franchise that depends almost entirely upon originality and freshness would start to feel more familiar and less fresh its third time around. As an admitted and unashamed fan of the Despicable Me and Minions universe, I have no problem admitting that this time around I found myself a little more frazzled than dazzled as we follow the heart-filled and humorous hijinks of Gru (Steve Carell) as he learns that he has a twin brother Dru, also voiced by Carell, while his new wife Lucy (Kristen Wiig) adjusts to the demands of playing mom to Agnes (Nev Scharrel), Edith (Dana Gaier), and Margo (Miranda Cosgrove).   Despicable Me 3 was one of my most anticipated films of summer 2017, an oddity perhaps for a professional film critic but there's something about these films that has tapped into my childlike sense of wonder and, logical or not, I absolutely love them. Well, to be honest, I didn't love Despicable Me 3. I liked it. I liked it a lot. It occasionally made me laugh and occasionally touched my heart, but it also felt like maybe, just maybe, the series is headed in the wrong direction and something needs to be done if this film's obviously open-ended closing is meant to lead us down the path to more Despicable Me films.   In the film, Gru is canned from the Anti-Villain League despite managing to protect the world's largest diamond but letting the world's most wanted criminal, former child star turned genuine baddie Balthazar Bratt (Trey Parker), get away to wreak havoc another day. You would think with Gru's endless supply of insecurities that the Anti-Villain League would have forced him into counseling by now, but this latest failure abandonment by his legion of Minions and a forced yet occasional journey through twindom that eventually leads to the inevitable attempt to reclaim the diamond and capture Bratt.   There is never a single moment when Despicable Me 3 really captures the magic that made us fall in love with this franchise, though co-writers Cinco Paul and Ken Daurio add depth to Lucy's character and manage to turn her into the mother we'd all really like to have. It's that warmth and sentimentality, at least in my opinion, that made us all fall in love with Despicable Me 3, a film that ultimately has always been about family values and family of choice. There's not enough of that genuine sincerity in Despicable Me 3, sentimentality often replaced by sarcasm and genuinely manifested humor often replaced by awkwardly forced set-ups and jokes that are funny but not funny like we expect from a Despicable Me 3 film.   While the presence of South Park co-creator Trey Parker is welcome here, Balthazar Bratt is a villain who wears out his welcome well before the film's 90-minute running time is up. With a tag line of ""I've been a bad boy!"" played out repeatedly, Bratt's presence begins to feel as awkwardly unsatisfying"
CFA_Doc2_DespicableMe3,CFA,Comedy,Positive,Despicable Me 3," Some animation features only have to answer one question: Do they make you laugh? Another one might be: Do they entertain you? And for the most part, I seem to recall finding Despicable Me and Despicable Me 2 fairly entertaining and funny, with the Minions spinoff less so on both counts. The story on any of these movies hardly matters, but the emphasis has tended to be about family, or at least the family to cobble together to help make you a better person. And over the course of the first two films, the supreme villain Gru (voiced by Steve Carell) has amassed a wife, Lucy (Kristen Wiig) and three daughters, who are all quite adorable. With Despicable Me 3, Gru adds a new member to his growing clan, a long-lost twin brother, Dru (also Carell), who he didn't even know about until this film. And when he confronts his mother (Julie Andrews) about it, she confesses that when she split from his father, each of them took one of the twins to raise.  Despicable Me 3 opens with what I guess is supposed to be a news piece about the growing threat of a villain named Balthazar Bratt ((South Park) creator and main vocal talent Trey Parker), a former child actor who played a character meant to be the worst kid in the world. But when his voice broke upon hitting puberty and he stopped being cute, he snapped, taking on the identity of the Bratt character and committing actual acts of evil, such as setting loose every-expanding bubble gum bubbles that push every person and building in its path out of the way violently. He also fancies himself a competitive dancer and insists on having any number of '80s pop tunes playing while he carries out his acts of destruction.  In an attempt to steal the world's biggest diamond, Bratt is thwarted (but not caught) by Gru and Lucy, but the new boss of the Anti-Villain League, Valerie Da Vinci (Jenny Slate), isn't happy that Bratt got away, and she fires them, leaving Gru with a lot of time to spend with his family. And then Dru enters to picture, with a full head of golden locks, dressed all in white, and just being generally agreeable and hugely successful. But the two get along splendidly and even being working together.   Photo courtesy of Universal Pictures But I know all you people care about are the damn Minions, who naturally return but in a slightly different capacity. Most of them assume that when Gru gets fired from the AVL that he'll return to his villainous roots. When he doesn't, many of them quit in protest, in the hopes of finding a better boss. When they aren't the stars of their own movie, the Minions are still very funny.  Many members of the key creative team behind the film have been working on these characters from the beginning. Director Pierre Coffin has had a hand in directing all three Despicable Me movies and Minions, second"
CFA_Doc3_DespicableMe3,CFA,Comedy,Positive,Despicable Me 3," Let's start this by saying, me and my kids wore our matching Minions underwear to see Despicable Me 3. We are the target market. And, superficially, it hit the mark. The wee people I was with liked it as evidenced by their near silence and unmovable sack-of-uselessness behavior during the film. If we're grading the movie on that, then A+.  This third window into the life of loveable curmudgeon, and mostly-reformed villain, Gru continues exploring its familiar themes: the meaning of family, non-biological parenthood, loyalty, and (surprisingly) nature vs. nurture.  First, I want to say I'm here for any movie that highlights that families can be made in so many ways. Gru is still a doting father to his three girls: Edith, Agnes, and Margo. His fatherhood isn't even a question. They are his girls and since the first movie my dude has been willing to risk his life for them. Lucy, however, is still trying to figure out what it means to be a (step)mom. We spent a fair amount of time in DM2 looking at what it means to be a kid who has never (to our knowledge) had a mother. And we ended that movie, of course, on the up note of Agnes reciting a poem about moms while Lucy fought back tears.  The biggest twist on family here, though, is the introduction of Dru, Gru's long lost twin brother. Who has hair. And is (kind of) evil. And has hair. Dru's desire to be as evil as Gru once was helps drive the plot as the brothers engage with Balthazar Bratt, the big bad in this installment. This child star turned adult villain brings humor and the necessary evil that Gru and Lucy must fight against. But so much more importantly, he's the reason/excuse for the soundtrack to be sprinkled with that 80s goodness.  What I would've liked more of from this movie was attention to plot detail. Yes, I know it's a kids' movie, but let's be honest: I'm going to end up watching it probably 50 more times once the DVD comes out. Dr. Nefario is conveniently sidelined without much explanation-but with nerd reference as a consolation prize. We don't get closure on what happens to the Bratt at the end. He's a villain, so we assume he's defeated. But maybe he's dead? Or maybe he escapes? There are a few other minor characters who don't have their plot points resolved, but we are left to assume everything worked out okay because of the genre.  What this movie did absolutely right was juggle storylines. We get Gru and Dru figuring out who they are as brothers and what that means. We get Agnes searching for mythical creatures. The minions are in these streets doing their own thing. Lucy is, as I said, working out the dynamics of being in a blended family. And we, of course, have the good vs. evil that leads the entire franchise.  Overall, this is a fun movie in a fun series. They definitely left the"
CFA_Doc4_DespicableMe3,CFA,Comedy,Positive,Despicable Me 3,"I'm confident that the minions would gleefully follow Chris Meledandri, Janet Healy and Chris Renaud anywhere this dazzlingly creative group would go!  In (Despicable Me 2,) Gru met his soul mate Lucy Wilde (Kristen Wiig) and they married. A quick roundup of the current (Despicable Me 3.) Now the reformed super-villain Gru (Steve Carell) agrees to change his life to make a better way for his three newly adopted daughters. And Gru discovers his long-lost twin brother, Dru, giving the reforming villain one more reason for a massive group hug!  Once the two long-lost brothers unite, this action-packed comedy moves swiftly into a hilarious family film that stresses those old-fashioned family values but in an utterly original way.  Old Gru has unfairly lost his job with the Anti-Villain League and his twin brother Dru desperately wants to get into the villainy racket to keep alive, we discover, the family legacy.  Gru and Dru are like table tennis players bouncing the running gags with speed and precision.  The villain making trouble is the disgruntled former child star named Balthazar Bratt (voiced by (South Park) co-creator Trey Parker)-a humorous relic of the '80s, when everyone knew and loved him from a show called (Evil Bratt.) Lost to his past, Balthazar wears huge shoulder pads and pump sneakers, tossing explosive bubble-gum bombs and break-dancing his way through complicated heists. He watches tapes of old episodes for ideas, corny but effective, and we get to hear his tagline-over and over again-(I've been a bad boy!)  Balthazar manages to steal the world's largest diamond and Gru and Lucy set out to stop him and to earn back the respect of new boss Valerie Da Vinci (Jenny Slate). While Gru and Dru make up for lost time and test out a slew of new gadgets that would make any villain proud, Lucy attempts to bond with the three little girls, who each have subplots of their own, the funniest being Agnes' obsession with finding a real live unicorn.  As silly and delightful as (Despicable Me 3) is, there are sentimental and warm-fuzzy family moments delivered with genuine sincerity. The true (Awwww) moments come when the youngest daughter Agnes tells adoptive mother Lucy, (I love you, Mom.)  The audience remains invested because the story keeps them glued. That's the work of writers Ken Daurio and Cinco Paul, who've been with the series since the beginning. This is complicated comedy, and for those of us who study structure, I suggest that you get a copy of the screenplay and pour yourself into learning their secrets.  (Despicable Me 3) is part of a franchise that has already earned more than $1.5 billion worldwide, and that's not counting merchandising or the (Minions) movie's additional billion. The uber intelligence of the team leaves this installment open-ended for an unending number of sequels. Jump up and down with glee. The minions will continue to bring the giggles for the next 50 years, I wager.  Along with the fast flowing jokes there is Heitor Pereira's spirited score and five new songs by Pharrell"
CFA_Doc5_DespicableMe3,CFA,Comedy,Positive,Despicable Me 3,"Full disclosure: I have seen neither Despicable Me nor Despicable Me 2, but the franchise's third installment kind of makes me want to. Now let me set the record straight: Despicable Me 3 is no crowning achievement in animation. You're not going to be wondering how they pulled off the effects. You're certainly not going to break down in tears once the credits roll. Simply put, it probably won't restore your faith in studio animation. But it may make you laugh.  Unlike so many of its peers, Despicable Me 3 is filled with clever humor that goes - if only a smidgen - deeper than your typical face-value gags and physical body humor that's so present in a majority of today's animated films. Steve Carell is mostly to thank for this, starring in the film as both ex-villain turned villain-catching agent, Gru, and quite hilariously, his twin brother, Dru. Kristen Wiig also manages to conjure up a few laughs as Gru's new wife attempting to learn the ways of motherhood via the duo's brood of adopted (and adorable) three daughters. As for the minions, I could take them or leave them. They'll make the kids laugh; they'll make you roll your eyes.  The story opens with Gru (Carell) and Lucy (Wiig) chasing down Balthazar Bratt (Trey Parker), the bubblegum-throwing, stuck-in-the-80s super villain who's been forever embittered by Hollywood for canceling the childhood sitcom he starred in. After Bratt escapes the scene, both Gru and Lucy are fired from the Anti-Villain League and attempt to begin a domestic life at home with their daughters Margo (Miranda Cosgrove), Edith (Dana Gaier), and Agnes (Nev Scharrel), but it's not long before they embark on a new adventure meeting Gru's long-lost twin brother, Dru (Carell).  Plenty of laughs ensue as the brotherly duo endure an awkward introduction and come to be best buds, including an identity swap scene at the dinner table that achieves a level of stupidity one can't help but be amused by, also playing perfectly against Lucy and the daughters' complete and utter lack of enjoyment. More hilarity can be found as Gru and Dru go on to take down Bratt and Lucy adapts to mothering the three girls, accidentally pairing Margo with a native boy of Dru's island by forcing her to accept a slice of his cheese. Also worth mentioning is Agnes's search for a unicorn and the one-horned goat she ends up with instead. Like I said, this stuff isn't genius, but it is funny.  The film flails whenever it tries to be sentimental as there's little space for it in the comedy of errors that's happening. The storyline could've also been ironed out with more unpredictability, but how much can you really ask for out of an Illumination Entertainment production. After all, this is a film designed specifically for kids. The good news is, if you're forced to take your little ones to see this in theaters, you might actually have a few laughs. The bad news is, well, it is"
CFA_Doc6_DespicableMe3,CFA,Comedy,Negative,Despicable Me 3,"Once upon a time Gru (Steve Carrell) was a chrome-domed supervillain complete with minions, an evil genius assistant, a panda skin rug in his lair and a plan to shrink the moon but that was before Margo, Edith and Agnes three orphan girls forced him to rethink his diabolical dealings and become a family man.  The theme of family continued into (Despicable Me 2) which saw him as a doting single father working for the Anti Villain League with partner and love interest Agent Lucy Wilde (Kristen Wiig).  The family feel extends into the latest film, (Despicable Me 3.) As the story resumes Gru is fired from his job at the Anti-Villain League when he fails to apprehend thief (and former 80s child star) Balthazar Bratt ((South Park's) Trey Parker) following a daring diamond robbery.  With time on his hands Gru and family visit his long lost brother, the extravagantly accented Dru (also voiced by Carrell) in the far off island of Freedonia. (Shortly after you and your brother were born, your father and I divorced, and we each took one son,) explains Gru's mother (Julie Andrews). (Obviously, I got second pick.)  As the brothers bond, Bratt gets back to work, this time managing to steal the giant diamond. He plans to use the gem to power the giant robot and get his revenge. (This time Hollywood I cancel you and all the losers who rejected me!)  As if that wasn't enough plot, the Minions, the curious clan of yellow jellybean-shaped troublemakers who were once Gru's henchmen, are arrested after invading a TV talent show called (Sing!) As Dru convinces Gru to take another run at Bratt and steal back the diamond, however, the Minions escape jail and lend a hand.  (Despicable Me 3) isn't exactly just an excuse to trot out the million dollar Minions but it's hard to imagine what it would be like without them. Gru and Company are fun enough but three movies in, plus a Minion standalone, the human characters have become familiar, predictable. The real stars are the jellybean shaped minions who are still silly, inspired and just stupid enough to make kids laugh uncontrollably.  The animation is wild 'n wacky and there are several set pieces, like the henchmen singing Gilbert and Sullivan in Minionese, that are inventive but overall the film raises a smile when it is in silly mode but is less successful when it defaults to being a capital 'F' family film, which is far too often.  Adults of a certain age will enjoy Bratt's endless 80s homages-he even has an evil army called the Bratt Pack-but make no mistake, this movie belongs to Gru's brightly coloured little companions.  (Despicable Me 3) isn't terrible, but it doesn't have the spark of the other films in the series. That lack of spark is amplified by a blatant sequel-ready ending that suggests this is simply a set up to a further adventure; an appetizer for a main course yet to come. As such, instead of leaving me hungry for more it"
CFA_Doc7_DespicableMe3,CFA,Comedy,Negative,Despicable Me 3,"Over the past several years, Universal Pictures has been able to print money because of some characters you might have heard of: the Minions, those squatty, yellow, walking marshmallows with a penchant for jibber-jabber. Coming on the scene in 2010 in the animated film, Despicable Me, they are now all these years later found everywhere: on clothes, bedsheets, toy aisles, multiple apps, you name it. You might chalk them up as a fad, but if the worldwide box-office total for their namesake solo film in 2015 show anything (it's the second highest grossing animated film...OF ALL TIME), it's that we should expect to see these guys for many, many years...for better or worse.  A few months ago, I saw my first glimpse of Despicable Me 3 in its first trailer. My family laughed greatly. We see many children's films in theaters, so needless to say, we saw that commercial and the one to follow several times. I have liked each of the films, some of them quite a bit, but with this one riffing on the 1980s with its villain, Balthazar Bratt (voiced by Trey Parker), I was prepared for the best yet. If only the laughs could hold consistent to the trailers...if only.  Here, we follow everyone's favorite baddie-turned-goodie, Gru (Steve Carell), after he and his wife, Lucy (Kristen Wiig), are fired from their jobs with the Anti-Villain League when Bratt escape their attempts at capturing him after his botched diamond heist. I realize that it may be hard to remember that these movies are actually about more than just the Minions. Anyways, Gru experiences a bit of an existential crisis while unemployed, which isn't helped much by the earth-shattering news that he has a twin brother he never even knew existed. Apparently, Gru's parents divorced early on, and each took a son with them. It's all a lot for Gru to process, but that is helped by the enthusiasm felt in meeting Dru (also voiced by Carell). Dru just wants Gru to carry on the family legacy of villainy, and at this point in his life, what does Gru have to lose? They secretly team up for heist hijinks, because what would Lucy think if she knew? Meanwhile, the Minions (didn't think I'd forget them, right?) quit serving Gru in his moment of unemployment and strike out alone, but trouble always follows them, landing them in the slammer. Sure, there are more things going on in the plot, but I'll leave those for you to see.  Was it any good? I've seen worse kid's flicks, for sure, but there just wasn't a whole lot here to get excited about. The biggest problem was that some of the best laughs I've had already had for free in the trailers for months now. What was left unseen until watching the full film didn't really wow me. Sure, there was some zany fun in Bratt's brightly colored retro-themed tech and the musical cues, but none of the subplots in this film really amount to"
CFA_Doc8_DespicableMe3,CFA,Comedy,Negative,Despicable Me 3," In DESPICABLE ME 3, there's a moment when Gru (voiced by Steve Carell) mutters, (I miss the Minions.) Well, yes. So likely will most of the audience. Although the little yellow hench-beings are heavily promoted in the DESPICABLE ME 3 trailers, they are largely missing from this third entry in the animated series.  In the original 2010 DESPICABLE ME, Gru was a professional super-villain, supported by his mad scientist buddy and a horde of mischievous, banana-obsessed Minions. Three little orphan girls warmed Gru's heart, to the point where he stopped being a baddie and thwarted another despicable sort. In 2013's DESPICABLE ME 2, Gru met and married heroic super-spy Lucy (voiced by Kristen Wiig). Again, the adventures were aided (and sometimes derailed) by the Minions.  In DESPICABLE ME 3, written by Cinco Paul & Ken Daurio (who also penned the first two films), Gru and Lucy are both agents of a heroic worldwide organization that takes down villains. Unfortunately, Gru's latest failure to capture Balthazar Bratt (voiced by Trey Parker, of SOUTH PARK fame), results in him and Lucy being fired. Balthazar, an Eighties child star turned evil mastermind, dreams of destroying Hollywood, the town that turned its back on him. Meanwhile, Gru's long-lost twin brother Dru (also voiced by Carell) wants Gru to teach him the ways of villainy.  The Minions walk out on Gru early in the film, except for two who stick with him but don't do much. DESPICABLE ME 3 occasionally cuts back to the Minions. However, the movie plays very much as if the filmmakers decided that they had certain set pieces they wanted to include, couldn't figure out how to integrate them and decided not to try.  This means that we've got a lot of loose plotlines waving around. The Gru/Dru sibling stuff is mildly amusing, but not funny enough, visually or conceptually, to fill the screen time it gets. Lucy's desire to be a good mother seems valid enough, but the jokes and punchlines connected to this are extremely mild. Little Agnes (voiced by Nev Scharrel) is still fascinated by unicorns, but this also goes on for awhile with a minor payoff.  The real mystery here is why Bratt was conceived the way he is. YouTube notwithstanding, little kids may not get all the Eighties references, and adults who get the joke may feel that it wears out pretty quickly.  Even the Minions don't have as much impact as usual, though their musical numbers are worth watching. Some good ideas are formed around them - the notion of the Minions as a feared prison gang is pretty funny - but these play out so fleetingly that they don't pay off. Yes, brevity is the soul of wit, but when you have a concept with potential mileage involving your most popular characters, you might want to explore it a little more.  The best thing here, at least for Angelenos, may be the depiction of Hollywood Boulevard, which takes artistic license, but is nevertheless startling in how accurate it feels. It's like"
CFA_Doc9_DespicableMe3,CFA,Comedy,Negative,Despicable Me 3,"At what point to film series and franchises begin to lose their bite? Despicable Me 3 aims to answer that question and the result is not what the studio is anticipating.  In 2010, Illumination Entertainment stumbled upon a premise that would lift its stock to a point not far below the greats of Disney, Pixar, and DreamWorks. Their concept of an archvillain using children as pawns, but discovering a genuine affection for them was a novel concept in animation and the end result was a warm, sweet exploration of fatherhood and family.  Three years later, that film's immense popularity led to a continuation of the story where Gru (Steve Carell) falls in love with a secret agent (Kristen Wiig) while his family is threatened by the machinations of a new villainous threat. The film was a solid effort, but began showing signs of limited potential. Gru was turned into a good guy and his nefarious schemes felt like an ever-present, but modestly distant memory. The familial joy was there, but a bit diminished. It was enjoyable, but not as moving as the original.  They followed this with an ill-advised prequel based on the popular pill-shaped Minions of the first two films. These critters speak in a language only they can understand, but which the audience can pick up contextual and visual clues to comprehend. This slow-moving film was a decided downward collapse of the series and laid the groundwork for concern over its future.  Now we come to the fourth film of Illuminations bread-and-butter franchise and it is a direct continuance of the characters and storylines of the second film. This time out, Gru and Lucy are in pursuit of a former child star-turned-villain (Trey Parker) who has plotted to steal a massive pink diamond. To complicate matters, Gru discovers that he has a long-lost twin(ish) brother named Dru. Dru always wanted to be the supervillain Gru was, but had to satisfy himself with playing spy in his own mind and with the vast wealth his father left him.  As Dru and Gru explore their fraternal relationship, they must work together alongside Lucy to break into Balathazar Bratt's heavily-defended compound and retrieve the purloined gem while bonding in the process. Many antiquated tropes of the spy and thriller genre, such as the family-in-distress dynamic, are on full display here and the machismo that has permeated the series threatens to undermine the jovial and friendly atmosphere the series once reveled in.  Pierre Coffin, who has been a part of the production, directing, and writing team since the beginning, has been shepherding the franchise towards its massive box office takes and popular approval, he has seemingly forgotten what had made the original film so special. That sense of emotional and paternal growth felt genuine and irrepressible. Now, it feels gratuitous and inconsequential, tacked on to tie it into the previous films, but lacking the sincerity.  This fourth incarnation has lost its way. Paying lip service to its own origins and haphazardly connecting to the past films, it is thankfully"
CFA_Doc10_DespicableMe3,CFA,Comedy,Negative,Despicable Me 3,"So, Despicable Me 3, then. Why not, I guess. It was almost a given that this was going to be an improvement over the last film in the Despicaverse, 2015's utterly stagnant Minions. And it turns out to be at least a fractional improvement over 2013's Despicable Me 2, as well, for the same reason: less emphasis on the minions, and more on the actual characters who feel actual feelings. Not much more, necessarily. While the first Despicable Me remains at least slightly charming, thanks to its straightforward version of a well-worn story of a family being formed out of isolated loners, Despicable Me 3 has a much more half-assed approach to the same basic notion. But half an ass is better than none.  The film has three main plot strands. In one, supervillain-turned-secret agent Gru (Steve Carell) is fired right before he learns that he's had an identical twin brother all this time, named Dru, who looks and sounds identical, except for a luxurious crop of blond hair. Dru, a hapless failure compared to their supervillain father, manages to seduce Gru back into a life of crime-ish-ness, as they team up to steal back a huge diamond that was already stolen by yet another supervillain, '80s child star gone bad Balthazar Bratt (Trey Parker). In a second, Gru's new wife Lucy (Kristen Wiig) tries to find her footing around his three adopted daughters, Margo (Miranda Cosgrove), Edith (Dana Gaier), and Agnes (Nev Scharrel). In the third, the minions, who've staged a walk-out in annoyance that Gru just won't go back to being a proper bad guy, end up in prison. They sadly do not remain there.  The three plotlines intersect, but they really don't talk to each other; it's more like a mid-series episode of a routine sitcom, clumsily tossing storylines to all of the leads with no real concern that they need to be stitched together in a compelling way. The aesthetic detachment is palpable. I can't what say drives Pierre Coffin, co-director and what amounts to the keeper of the Despicable Me flame; if he has some hot-blooded passion for this utterly mediocre material like John Lasseter has for the Cars movies, but I can't convince myself that he does. Cars 3 is not an inspired movie by any definition I can plausibly come up with, but it does feel like somebody on the writing staff believed in it, however misguided that belief was. Despicable Me 3 feels like cold, hard product: assembled from purely mechanical logic for purely mechanical ends.  That certainly explains the glassy-eyed blandness of what I guess we should call the A-plot, Gru and Dru's awkward attempt to re-connect through high-tech crime: Gru the master villain trying to do good, Dru the hapless idiot trying to do bad. Only the fairly low-key spectacle of Carrel trotting out a similar-but-different voice for Dru (and, in one of the few scenes in the film that wrested a chuckle from me, Gru and Dru's impersonations of each other) offers"
