Doc_ID,DSI_Title,Submission File Name,Student Name,Genre of Movie,Review Type (pos or neg),Movie Title,Text
101,SCO_Doc1_DespicableMe3,SCO_Doc1_DespicableMe3,SCO,Comedy,Positive,Despicable Me 3,"Repeating a formula that worked like gangbusters in the last installment, which became the most profitable film in Universal history, Despicable Me 3 offers up more of the same: more Gru - actually Gru times two if you count his twin brother, Dru; more Minions (though thankfully less than in their own exhausting 2015 spinoff); more Looney Tunes-esque sight gags; more pop-culture references, with an emphasis on the 1980s this time; and more catchy Pharrell Williams songs on the soundtrack. It's an if-it-ain't-broke-then-don't-fix-it approach that works just fine if you're simply looking to take another ride on the rollercoaster, with Steve Carell and Kristen Wiig returning to voice a pair of lovey-dovey superspy parents out to rid the world of evil yet again. Indeed, the original film's enticing premise, about a bad guy who can't help turning good, has been somewhat forgotten, even if series creator Pierre Coffin (working here with Kyle Balda and co-director Eric Guillon) tries to insert a bit of pathos and family matters into the action. Otherwise, this rather clever, breakneck-paced cartoon gives fans exactly what they want: Like the new nemesis voiced by Trey Parker, it shoots multiple machine-gun bursts of bubblegum at the audience, asking them to chew and enjoy. Expect them to do so when the film hits theaters June 30. Wahen we last left Gru (Carell) and Lucy (Wiig), they had forged a happy home with the three girls (Miranda Cosgrove, Dana Gaier, Nev Scharrel) the big bad softee wound up with in the first movie. When this one starts, their livelihood is quickly threatened when their Anti-Villain League's new boss (Jenny Slate) fires the couple after they fail to apprehend an arch villain named Balthazar Bratt (Parker) - a former '80s child TV star who has gone all Diff'rent Strokes and turned to a life of crime. The opening reel offers up a slew of Tex Avery-style stunts, music cues ranging from Michael Jackson to Van Halen to A-ha, and enough of the Minions to keep the kids happy. There's a lot thrown at the screen at once, yet Carell and Wiig manage to anchor the action with characters that can seem both outlandish and emotionally real, trying to keep their couple afloat amid the chaos that surrounds them. Coffin and his fellow directors - working with returning scribes Cinco Paul and Ken Daurio - keep several balls in the air at once, kicking off the second act by introducing Dru (Carell again, though with a less pronounced Slavic accent), a long-lost twin brother who seems to be everything Gru isn't, all the way down to a swath of blond hair that Donald Trump could only dream of implanting. But things are not necessarily what they seem, and the brotherly love turns into something else as we learn more about Gru's family history, including a brief cameo from his mother (Julie Andrews), who looks like she's caught in a pool scene from a softcore Italian porno. There are plenty of other"
102,SCO_Doc2_DespicableMe3,SCO_Doc2_DespicableMe3,SCO,Comedy,Positive,Despicable Me 3,"Despicable Me 3 is gleefully anarchic fun, a film that startles us again and again with its offbeat and surrealistic humour. Many of the nostalgic and self-reflexive references here will surely be completely lost on younger viewers but they should delight their parents. The film's villain is embittered former child star Balthazar Bratt (voiced by Trey Parker). Back in 1985, Bratt had his own TV show but then he grew up, got pimples and the show was cancelled. Now, he wants revenge on the world in general and on Hollywood in particular. Bratt wears shoulder pads, dresses in purple jumpsuits and has a mullet-like haircut and moustache combo that might have embarrassed Hall and Oates. When he is pitted against his adversaries, he will challenge them to (dance fights). (The winner is the one who preens and wriggles the most.) His weapon of choice is super sticky, self-inflating pink bubble gum. His ultimate plan is to cover Los Angeles in this goo and then sit back and watch the city that rejected him float away into space. (The idea comes from one of the episodes of his old TV series.) In the meantime, he is busy stealing the world's most expensive jewel. Gru (voiced by Steve Carrell in that wonderfully weird, high-pitched middle European accent) is now one of the (goodies), working for the Anti-Villain League. He is supposed to be bringing Bratt to justice but makes such a hash of it that his bosses (kick him to the curb) and fire him. Even the minions lose faith in him. He is in strong need of redemption. The screenplay by Cinco Paul and Ken Daurio makes us aware of the yearnings of all the other main characters too. Gru's wife, kick-ass Anti-Villain League agent Lucy Wilde (voiced by Kristen Wiig) wants to prove herself as a mom to her adopted kids. Gru's newly discovered, much better looking twin brother Dru Gru (also voiced by Carrell), who's a wealthy pig farmer, is desperate to prove his credentials as a villain. The youngest of the kids, little moppet Agnes (Nev Scharrel) is on a quest to find a real-life unicorn. She almost bursts with excitement when she meets a bar-owner who claims to have seen one. The film makes us feel sympathy for these protagonists - and even a little pity for Bratt himself as he tries to re-live his glory days in the Eighties. However fantastical the plot becomes, the relationships between the characters remain straightforward enough. This means the film retains its emotional undertow. It helps that the faces of the humans are animated in such an expressive way: they all have huge, rapidly blinking eyes and their skin colour will change, reflecting their moods. At times, it's as if the minions are in their own, separate movie. They don't feature very prominently but are at the centre of two tremendous sequences. In one, the little yellow imps invade a Hollywood studio, stumble onto a sound stage where a TV"
103,SCO_Doc3_DespicableMe3,SCO_Doc3_DespicableMe3,SCO,Comedy,Positive,Despicable Me 3,"The third helping of the blockbuster Despicable Me series featuring Steve Carell and Kristen Wiig makes all the right moves - but to incrementally less successful effect The Despicable Me series has shown there is life outside Pixar and Disney, both commercially and artistically, in the blockbuster animation world, with its sentimental-querulous figurehead Gru (voiced by Steve Carell) and fondness for idiosyncratic grotesques. So here we are at number three - not counting, of course, the prequel-spinoff Minions, in which Gru's babbling army of small yellow helpers took centre stage. While all the elements that brought the first two Despicable Mes inordinate popularity are present and correct, it might perhaps be churlish to suggest that the charm is beginning to wear off - just a tiny bit. On the face of it, this third film simply extends the sentimental undertow of its predecessors. Having acquired children (in DM1) and a wife (Lucy, voiced by Kristen Wiig, in DM2), Gru this time discovers he has a twin, Dru (voiced, again, by Carell). Possessed of hair, a sunny outlook and substantial material possessions, Dru is pitched as the polar opposite to his surly, self-hating long-lost brother; he is also keen to re-establish the family tradition of supervillany - the very practice Gru has turned his back on. It's only a matter of minutes before a heated sibling rivalry is raging. Shortly before the reconnection with Dru, however, Gru and Lucy have managed to get themselves fired from their crimefighting org, the Anti Villain League, after botching the pursuit of a bubblegum-toting, Rubik's Cube-wielding supervillain Balthazar Bratt (South Park's Trey Parker). Bratt is a rather entertaining creation, even if it's the apotheosis of the movies' increasingly teethgrinding obsession with self-referential pop culture. Bratt is the former kiddie star of an 80s TV show and - complete with mullet hairstyle, weaponised guitar-synth and repeated challenges to dance-fights - utilises cheesy 80s style to ballast his villainous moves to take revenge for his Hollywood rejection. The extended sections devoted to Bratt, including a prologue in which he captures a ship containing the largest diamond in the world, are Despicable Me's best and funniest sequences, overflowing with ideas and gags. They also prompt the film's not-all-that-imaginative jukebox soundtrack of 80s hits - Michael Jackson's Bad, aHa's Take on Me, Madonna's Into the Groove. Perhaps younger members of the audience might consider them cultish ancient tunes, but to the slightly more seasoned filmgoer it's an indication that under the eyepopping lysergic visuals there's a basic unadventurousness to proceedings. Perhaps it's inevitable after the impressive impact the first in the series made, with its distinctive combination of daftness and dyspepsia; a sort of closing the circle. The Gru/Dru thread also shows the strain. It looks initially like it will provide rich easily-mined territory - including the sinister implication, apparent in their first meeting, that Dru might replace his brother in his family's affections. But it runs out of steam pretty quickly, with little made of their rivalry other"
104,SCO_Doc4_DespicableMe3,SCO_Doc4_DespicableMe3,SCO,Comedy,Positive,Despicable Me 3,"For all their extraordinary popularity, the Despicable Me films have never quite landed on a look or tone that felt ineffably them. You don't know what you'll necessarily get when queueing for one, apart from Minions, in the same way as you do for, say, a Lego Movie - a franchise that set out its all-gags-blazing aesthetic in the opening 0.3 seconds of its first instalment. That said, there was a memorably lovely sequence in the original Despicable Me (2010) in which uber-grouch Gru (voiced, then and now, by Steve Carell) takes his three adopted daughters to a seaside carnival: the foursome board a roller-coaster, Pharrell Williams fades up on the soundtrack, and Gru tries and fails to stifle his own excitement while the world flies past in a pastel-coloured rush. The moment has an authentic pop sweetness that Illumination Entertainment's films have struggled to recapture since - both within the Despicable cycle (of which this film, if you count 2015's Minions, is the fourth instalment), and outside of it, in Sing, The Secret Life of Pets, and the animation house's other injection-moulded side-projects. But Despicable Me 3 often comes close - a welcome turn of events that has less to do with the story at hand, which is as bitty and frivolous as ever, than a new-found sense of warmth and wonder in the computer-generated animation itself. It's evident straight away, in a fizzy prologue which tees up the bad guy du jour: a fallen child star called Balthazar Bratt (Trey Parker) whose villainous M.O., along with his taste in clothes and music, is heavily 1980s-themed. This means self-inflating bubble-gum bombs, a keytar cannon that shoots out weaponised Van Halen riffs, flippers that allow the wearer to moonwalk over water, and more - ideas no less gimmicky than the fart gun and rocket-powered ballgown of previous instalments, but which are brought to life with more rainbow exuberance and tighter comic rhythms than the series has previously mustered. This goes double, literally, once Gru and his long-lost blond twin Dru (who's also voiced by Carell) join forces, in complimentary black and white bodysuits, to retrieve a giant rose diamond Bratt has pinched from a Paris museum.The brothers' mission is like a Spy vs. Spy strip crossed with a Friz Freleng Pink Panther cartoon: in fact, given the colours of the precious stone and costumes involved, it's not inconceivable that this was the exact creative brief the directors, Kyle Balda and Pierre Coffin, were working from. Either way, it's consistently funny, with the kind of well-orchestrated slapstick moments where you can actually feel the stick slap.A]s for the Minions, they're mostly hived off in a subplot of their own, in which the performance of a big Gilbert and Sullivan-inspired number on primetime television leads directly to incarceration. This lends the film the air of a $75 million plate-spinning exercise: in addition to Gru's fraternal reunion and the Minions' adventures, there's a subplot in which Gru's new wife Lucy (Kristen Wiig) bonds"
105,SCO_Doc5_DespicableMe3,SCO_Doc5_DespicableMe3,SCO,Comedy,Positive,Despicable Me 3,"Whatever the mood, you'll find yourself in a better one after watching Despicable Me 3. The exhilarating '80s music, a revivified Gru (Steve Carell) and a lesson in family all join to form a mosh pit of a movie that still makes you ultimately smile. The tone is set even before the opening title card with Gru and Lucy (Kristen Wiig) -- his wife and now-fellow Anti-Villain League agent -- hot on the trail of Balthazar Bratt (Trey Parker). Bratt is a quite literal child star gone bad (or method): He's become his character from a cheesy '80s TV show called Evil Bratt, in which he played a kid bent on destruction. Tagline? ""I've been a bad boy."" Once puberty hit, Bratt's show was canceled and so was he. He now wants to do to Hollywood what it did to him, chew it up and spit it out, all while wearing the clothes and stuck in the era that Hollywood handed to him. Meta, much? Bratt is a McGuffin, though a mullet-coiffed, dancing-machine one. The real story here is family. Gru made his own with the Minions, then his girls and his new wife. But now comes a revelation: Gru has a shiny, happy brother, with seemingly everything Gru ever wanted, especially that shampoo-commercial hair. But his brother Dru (also Steve Carell) harbors a dark secret. He wants to be bad. But, as bad as Gru can sometimes be at being good, his brother is even worse at being bad. He pressures Gru to keep living up to a legacy that Gru didn't even realize he was perpetuating. That's enough for two movies, but then there are subplots, some contrived, and borrowed plot devices -- I see you Parent Trap -- that are everywhere and nowhere at once. For the emotional payoff, they hardly seem worth the time; really, a search for a unicorn? Then again, what may seem peripatetic to grownups serves as distraction and diversion to little ones. One can hardly write the word distraction without following with mention of the Minions, who find their forces reduced early after Gru rebuffs their calls to ""go dark"" after the encounter with Bratt leaves the family unemployed. That allows the film to get in a Star Wars gag -- and to breathe without having to cater to them and their proud fan base; rudderless, the Minions end up in jail for much of the movie. (Perhaps a timeout is in order after their own movie in 2015?) Picked apart, Despicable Me 3 can be fun and off-putting. First, it never takes itself that seriously, and neither should its audience. Then, even the in jokes have in jokes.The filmmakers may have stuffed 3 with everything and the kitchen sink, perhaps drawing inspiration from the decade to which it pays homage, or maybe they just felt as if the end is nigh. But then, it also sets up a Spy vs. Spy-like continuation, if anyone is so inclined. Taken as a whole,"
106,SCO_Doc6_DespicableMe3,SCO_Doc6_DespicableMe3,SCO,Comedy,Negative,Despicable Me 3,"With its combination of vaguely European stylings, a storyline that effectively combines slapstick and sentiment and the scene-stealing antics of the gibberish-spouting sentient Twinkies known as the Minions, (Despicable Me) (2010) was a breath of reasonably fresh air in the crowded feature animation marketplace that went on to be a massive success throughout the world. The inevitable (Despicable Me 2) (2013) was an equally big hit from a financial standpoint but lacked the freshness of the original and the storyline was largely forgettable. And even though the Minions once again more or less stole the show, even they began to wear out their welcome a bit. That became especially obvious in the spin-off vehicle (Minions) (2015), a film that did little other than illustrate to youngsters the notion of there being too much of a good thing. Now comes (Despicable Me 3,) a depressingly rote piece of corporate product that has so little on its mind other than presumably making hundreds of millions of dollars that you half expect the ticket sellers to hand out copies of Comcast's latest earnings report along with the 3-D glasses. Having been inspired by his three adorable adopted daughters-Margo (Miranda Cosgrove), Edith (Dana Grier) and Agnes (Nev Scharrel)-to give up a life of super-villainy, Gru (Steve Carrell) is working as an agent for the Anti-Villainy League alongside new wife Lucy (Kristen Wiig). As the film opens, the two try to stop the fiendish Balthazar Bratt (Trey Parker), a former kid star from the 80's seeking revenge on the world for cancelling his TV show ((Evil Bratt)), from stealing the world's largest diamond with the aid of a robot sidekick, scientifically enhanced bubble gum and a keytar capable of playing the most familiar musical riffs of his favorite era. Although he saves the diamond, Gru lets Balthazar get away and as a result, the new head of the AVL (Jenny Slate in a strangely brief role) fires both him and Lucy. No sooner has Gru suffered this professional setback than his personal world is rocked as well when he is contacted by his heretofore-unknown twin brother Dru (also Carrell) and invited to meet him at his home on the faraway land of Freedonia. (If the name (Freedonia) rings any bells with you, consider that a potential signal that you might be just a little too old for this film.) Gru and the family fly off to Freedonia and discover that Dru is fabulously wealthy and handsome. But just as the even-more-depressed Gru is about to leave, Dru confesses the real reason for summoning his brother-he wants his sibling to teach him the tricks of the super-villain trade so that he can also carry on in the family tradition. Gru refuses at first but since Balthazar has managed to steal that diamond in the interim, he figures that if he can break into Bratt's lair-an isolated compound topped by a giant Rubik's Cube-and steal it back, he and Lucy will be reinstated in the AVL. While"
107,SCO_Doc7_DespicableMe3,SCO_Doc7_DespicableMe3,SCO,Comedy,Negative,Despicable Me 3,"The latest entry in the expanding franchise is overstuffed with a confusing plot, dated jokes, and a lack of attention to its biggest stars. It's clear from the opening minutes of (Despicable Me 3) that the popular Illumination Entertainment franchise has lost the thread on what makes the series so appealing to its target audience (you know, kids). The latest film in the expanding canon of (Despicable Me) features - which has grown to include a Minion-centric spinoff, plus more to come - gamely opens with a fart-laden studio logo before introducing the series' newest villain, a cast-off has-been television star literally named Evil Bratt. Voiced by Trey Parker, the balding Bratt is a weirdo riff on classic '80s TV characters like Small Wonder and Punky Brewster, complete with a sassy robot friend and a keytar he uses to play such jams as (Sussudio) and (Take on Me,) a role entirely dependent on the audience's knowledge of the kind of roles he's skewering. He seems unlikely to appeal to - or amuse - the younger set, but at least he's got a little flair, something the rest of the film is severely lacking. Now firmly settled into his dual roles as good-guy secret agent and family man, former baddie Gru (voiced by Steve Carell) has been battling Bratt for ages by the time the Rubik's Cube-loving villain hatches a plan to steal the world's biggest diamond, an evil deed he intends to complete by way of some evil bubblegum (yes) and an even worse attitude (he's still clinging to his TV-issued catchphrase (I've been a baaaad boy!)). The throwback character is amusing at first blush, but he soon feels as if he's been plucked from another movie and stuffed inside this one - a common problem throughout the rest of (Despicable Me 3.) Bratt is mad because his decades-old television series, which was about him being a kid super-villain, was cancelled when he unexpectedly entered puberty. With no other skill set to his name, he's bent on two things: being a real villain and taking down the entertainment industry that shunned him. (You know how much children love dismantling capitalism.) The diamond is part of that convoluted plan, and after outsmarting Gru and his wife, fellow agent Lucy (voiced by Kristen Wiig) yet again, Bratt makes off with the giant gem. Gru's journey from bad villain to inept agent has framed up the series so far, but the third (Despicable Me) film still finds him struggling to succeed, even when supported by Lucy, who is twice the agent he'll ever be. Gru's issues haven't changed over the course of three films, and (Despicable Me 3) finds no new emotion or insight in the recycled plotline, one whose charms wore off during the first film and have yet to bounce back. When the pair's agency gets a new head - voiced by Jenny Slate in a thankless role that makes her amusing turn in the animated (The Secret Life of Pets)"
108,SCO_Doc8_DespicableMe3,SCO_Doc8_DespicableMe3,SCO,Comedy,Negative,Despicable Me 3,"'Despicable Me 3' is so bad it's almost unendurable Even the title seems off. If we needed this third film about a reformed supervillain named Gru (voiced by Steve Carell), his ever-expanding family, his endlessly merchandisable Minions and his increasingly tiresome Manichaean struggle, it really should have been called (Despicable We.) After all, the new movie's main plot point is the reunion of Gru with Dru (also Carell), the identical twin brother he never knew he had - a lame brand-extending contrivance that comes straight out of (The Parent Trap.) You might describe (Despicable Me 3) as a parent trap, too, though probably not the kind that the hard-working people at Universal Pictures and Illumination Entertainment had in mind. Don't get me wrong: Parents of young kids tend to develop a high tolerance for the mass-produced mediocrity that typically passes for children's entertainment and will happily endure a lot of it in exchange for 90 minutes' worth of (relative) peace and quiet. But (Despicable Me 3,) written by Cinco Paul and Ken Daurio, is close to unendurable. Under the pretext of offering fun for the whole family, the movie winds up doing almost precisely the opposite; its attempts at grown-up sophistication and cheeky, knowing humor are clueless and hectoring enough to leave any adult in the audience wishing they'd been straight-up ignored. Most of the pain arrives courtesy of new uber-baddie Balthazar Bratt (Trey Parker), the former child star of a long-forgotten '80s TV show whose memory he now seeks to avenge. To that end, he wears a hideous mullet (sorry if I'm being redundant) and mile-high shoulder pads, and his every appearance summons forth a blast of popular music from that much-derided decade. Michael Jackson's (Bad) is unsurprisingly high on the playlist as are similarly obvious candidates like (Take My Breath Away) and (Take on Me.) By the time the movie tosses in a 10-second excerpt from (99 Luftballons,) you might find yourself less amused than enraged. Not because the songs aren't fun, but because even their wan nostalgia value feels cheapened and diminished by directors Pierre Coffin and Kyle Balda, who treat every element on their broad, busy canvas with the same undiscriminating junkyard sensibility that has become synonymous with the Illumination Entertainment brand (see also (The Secret Life of Pets) and (Dr. Seuss' The Lorax.) If you must). The plot is set in motion when Bratt uses bubble-gum bombs and a weaponized keytar to steal an enormous diamond. Failing to capture their new nemesis, Gru and his new wife, Lucy (Kristen Wiig), are stripped of their crime-fighting credentials by the Anti-Villain League, which has come under tough new management (Jenny Slate, briefly heard). But the stresses of unemployment are temporarily put on hold when Gru learns from his estranged mother (Julie Andrews) that he has a twin brother, Dru, from whom he was separated at birth. Along with Lucy and his three adopted daughters - the mature Margo (Miranda Cosgrove), the mischievous Edith (Dana Gaier) and the"
109,SCO_Doc9_DespicableMe3,SCO_Doc9_DespicableMe3,SCO,Comedy,Negative,Despicable Me 3,"There's a lot going on in 'Despicable Me 3,' an effort to disguise that there's not much left in this universe (Despicable Me 3) feels like a TV show. Or rather, like multiple episodes of a TV show, all airing at once. As such, it makes for a rather disjointed experience. It's loud and busy and desperately wants you to like it, like an attention starved child who keeps tugging at your shirt tail. (Like me! Notice me!) it screams, from the opening frames right up until the closing credits. Kids movies weren't always like this. Once upon a time they were patient and unhurried, but those days are long since gone, and (Despicable Me 3) follows the modern mold to a T. More, more, more, the louder and the faster the seemingly better has been the M.O. for some time. (Even the good ones suffer from bloat; most Pixar movies tend to end with an apocalypse of effects whirring by on screen.) Amid the chaos, here's a partial list of the various things going on in (Despicable Me 3): An evil, '80s-obsessed former child star named Balthazar Bratt (voiced by (South Park's) Trey Parker) is on a rampage and is out to steal a giant pink diamond and destroy Hollywood; Gru (Steve Carell), the series' star and former bad guy turned bad guy-chasing agent, is fired from the Anti-Villain League after failing to apprehend Bratt during the opening sequence; Gru learns he has a long-lost twin brother, Dru (also Carell, doing a truly grating sort-of Swedish-by-way-of-Russian accent), who wants Gru to return to his dastardly ways; Agnes, the youngest of three adoptive daughters of Gru and his wife Lucy (Kristen Wiig), is on a mission to find out if unicorns are real; The Minions, the little yellow creatures that look like banana stumps and who out in the real world have been merchandised within an inch of their life, leave Gru behind, wind up on an (American Idol)-style singing competition, land in jail, plot their escape to break out and perform choreographed dance routines to Pharrell Williams songs. That's pretty busy, and director trio (!) Kyle Balda, Pierre Coffin and Eric Guillon shuffle between these stories like they're flipping channels. The hope is that the more they throw at you, something will stick, and they'll wind up hitting on something for everybody: action for the boys, unicorns for the girls, Minions for the Minion completists (they're their own group), '80s pop music references for the parents. The truth that emerges through it all is the (Despicable Me) franchise is running out of gas; in addition to the first two films, there was also a (Minions) standalone effort in 2015. The (long lost twin brother) angle is a staple of narratives that have begun spinning their wheels, and it's surprising this franchise went there so fast, but here we are. Within the movie, there are some asides that feel like in-jokes on the production. (I miss the Minions,) Gru says"
110,SCO_Doc10_DespicableMe3,SCO_Doc10_DespicableMe3,SCO,Comedy,Negative,Despicable Me 3,"The first Despicable Me I really enjoyed, the second one was okay but not that great, the Minions one was mediocre, and this third one is iffy. Despicable Me has also had shorts and I saw a few of them like the House Makeover one, the Training Wheels one, and the one that played before Secret Life of Pets. The Training Wheels one was okay, the House Makeover one was pretty good, but the one that played before Secret Life of Pets was sub-par. I think that they need to stop milking this franchise because Despicable Me is just getting worse and worse with each movie and short and from the cliffhanger in the end, I could tell that there's probably going to be a fourth one about Dru's career as a villain. And what's going to happen? Dru and maybe even Gru are going to meet their dad who they haven't seen in a long time and maybe bring him into the family? Are the girls going to find out that their biological parents abandoned them and leave Gru to live with their parents? And what if they make a T.V. series? None of the characters I thought were very good and are shadows of their former selves. The new characters, Evil Bratt is obvious and Dru is an unnecessary character, he caused trouble for Gru and doesn't even know how to drive yet he has a car. Lucy is annoying with how aggressive and hyper she acts and an unnecessary mom and teammate of Gru and she and Gru are burdening a 6-year-old little girl with stuff about work. Which I think is too much for a 6 year old to comprehend. Not to mention, the kids act too precocious now. Like how could a 6-year-old girl know how to cook soup? She also sold her unicorn, well, Despicable Me is dead now. Isn't she too young to be even thinking about businesses anyway? And she adopts a goat? Why would she adopt a wild animal? And the minions are now more annoying trouble-makers than ever. There are too many popular songs in there. But I really loved the end credits song. This movie is kind of like a rehash of Despicable Me 1, 2, and Minions. A villain causes destruction to the town towards the end, the girls get kidnapped by the villain, and a boy falls in love with Margo and even talks about getting engaged with her even though they're too young. And he also does embarrassing things such as smooching all over her. Edith's voice actor sounded a bit too old for her age. There are a few good things to say about this film, the action scenes are alright, there were some heart-warming moments between Gru and Dru and I like how they help each other, and I also like how they got three different stories going on, one about Lucy and the girls, one about the Minions, and one about Gru and"
